Month,DayofMonth,Origin,Dest
1,1,725,725
1,2,764,764
1,3,759,759
1,4,758,758
1,5,682,682
1,6,731,731
1,7,720,720
1,8,711,711
1,9,716,716
1,10,717,717
1,11,721,721
1,12,590,590
1,13,677,677
1,14,717,717
1,15,701,701
1,16,715,715
1,17,718,718
1,18,723,723
1,19,600,600
1,20,678,678
1,21,715,715
1,22,708,708
1,23,715,715
1,24,717,717
1,25,716,716
1,26,602,602
1,27,680,680
1,28,717,717
1,29,708,708
1,30,715,715
1,31,717,717
2,1,720,720
2,2,601,601
2,3,675,675
2,4,716,716
2,5,707,707
2,6,713,713
2,7,718,718
2,8,721,721
2,9,601,601
2,10,678,678
2,11,717,717
2,12,706,706
2,13,725,725
2,14,731,731
2,15,736,736
2,16,641,641
2,17,694,694
2,18,731,731
2,19,729,729
2,20,729,729
2,21,732,732
2,22,735,735
2,23,641,641
2,24,702,702
2,25,732,732
2,26,730,730
2,27,720,720
2,28,723,723
2,29,726,726
3,1,644,644
3,2,699,699
3,3,731,731
3,4,723,723
3,5,724,724
3,6,729,729
3,7,732,732
3,8,643,643
3,9,710,710
3,10,749,749
3,11,741,741
3,12,742,742
3,13,746,746
3,14,751,751
3,15,647,647
3,16,711,711
3,17,749,749
3,18,742,742
3,19,742,742
3,20,747,747
3,21,749,749
3,22,647,647
3,23,712,712
3,24,749,749
3,25,741,741
3,26,742,742
3,27,745,745
3,28,750,750
3,29,642,642
3,30,698,698
3,31,739,739
4,1,737,737
4,2,733,733
4,3,737,737
4,4,739,739
4,5,636,636
4,6,701,701
4,7,743,743
4,8,733,733
4,9,746,746
4,10,750,750
4,11,752,752
4,12,649,649
4,13,712,712
4,14,748,748
4,15,735,735
4,16,748,748
4,17,751,751
4,18,754,754
4,19,653,653
4,20,714,714
4,21,747,747
4,22,733,733
4,23,750,750
4,24,752,752
4,25,756,756
4,26,655,655
4,27,719,719
4,28,754,754
4,29,739,739
4,30,750,750
5,1,756,756
5,2,763,763
5,3,655,655
5,4,723,723
5,5,765,765
5,6,746,746
5,7,766,766
5,8,767,767
5,9,770,770
5,10,661,661
5,11,733,733
5,12,770,770
5,13,744,744
5,14,768,768
5,15,771,771
5,16,777,777
5,17,665,665
5,18,733,733
5,19,772,772
5,20,751,751
5,21,774,774
5,22,775,775
5,23,779,779
5,24,660,660
5,25,628,628
5,26,761,761
5,27,755,755
5,28,768,768
5,29,771,771
5,30,775,775
5,31,666,666
6,1,730,730
6,2,772,772
6,3,752,752
6,4,768,768
6,5,788,788
6,6,792,792
6,7,702,702
6,8,772,772
6,9,787,787
6,10,784,784
6,11,789,789
6,12,793,793
6,13,798,798
6,14,718,718
6,15,776,776
6,16,794,794
6,17,792,792
6,18,794,794
6,19,798,798
6,20,800,800
6,21,722,722
6,22,782,782
6,23,798,798
6,24,796,796
6,25,798,798
6,26,798,798
6,27,800,800
6,28,722,722
6,29,779,779
6,30,792,792
7,1,798,798
7,2,798,798
7,3,800,800
7,4,604,604
7,5,708,708
7,6,785,785
7,7,810,810
7,8,795,795
7,9,599,599
7,10,812,812
7,11,814,814
7,12,732,732
7,13,791,791
7,14,809,809
7,15,802,802
7,16,811,811
7,17,812,812
7,18,814,814
7,19,732,732
7,20,792,792
7,21,810,810
7,22,802,802
7,23,812,812
7,24,812,812
7,25,814,814
7,26,732,732
7,27,791,791
7,28,810,810
7,29,802,802
7,30,812,812
7,31,812,812
8,1,814,814
8,2,732,732
8,3,792,792
8,4,810,810
8,5,800,800
8,6,804,804
8,7,811,811
8,8,814,814
8,9,732,732
8,10,791,791
8,11,809,809
8,12,797,797
8,13,802,802
8,14,810,810
8,15,813,813
8,16,723,723
8,17,780,780
8,18,805,805
8,19,777,777
8,20,781,781
8,21,797,797
8,22,797,797
8,23,676,676
8,24,766,766
8,25,785,785
8,26,757,757
8,27,759,759
8,28,785,785
8,29,791,791
8,30,614,614
8,31,585,585
9,1,766,766
9,2,726,726
9,3,736,736
9,4,742,742
9,5,743,743
9,6,613,613
9,7,717,717
9,8,739,739
9,9,710,710
9,10,734,734
9,11,743,743
9,12,746,746
9,13,616,616
9,14,716,716
9,15,739,739
9,16,708,708
9,17,733,733
9,18,743,743
9,19,745,745
9,20,616,616
9,21,716,716
9,22,739,739
9,23,708,708
9,24,732,732
9,25,743,743
9,26,744,744
9,27,616,616
9,28,712,712
9,29,739,739
9,30,709,709
10,1,735,735
10,2,743,743
10,3,743,743
10,4,616,616
10,5,714,714
10,6,739,739
10,7,705,705
10,8,735,735
10,9,743,743
10,10,743,743
10,11,616,616
10,12,712,712
10,13,737,737
10,14,703,703
10,15,733,733
10,16,741,741
10,17,740,740
10,18,614,614
10,19,711,711
10,20,737,737
10,21,701,701
10,22,733,733
10,23,741,741
10,24,742,742
10,25,616,616
10,26,707,707
10,27,737,737
10,28,703,703
10,29,734,734
10,30,737,737
10,31,713,713
11,1,607,607
11,2,682,682
11,3,715,715
11,4,691,691
11,5,710,710
11,6,715,715
11,7,717,717
11,8,610,610
11,9,675,675
11,10,714,714
11,11,688,688
11,12,710,710
11,13,716,716
11,14,716,716
11,15,610,610
11,16,677,677
11,17,714,714
11,18,688,688
11,19,710,710
11,20,716,716
11,21,716,716
11,22,615,615
11,23,681,681
11,24,711,711
11,25,709,709
11,26,716,716
11,27,499,499
11,28,577,577
11,29,677,677
11,30,716,716
12,1,719,719
12,2,706,706
12,3,709,709
12,4,715,715
12,5,718,718
12,6,602,602
12,7,669,669
12,8,706,706
12,9,678,678
12,10,704,704
12,11,711,711
12,12,715,715
12,13,598,598
12,14,667,667
12,15,703,703
12,16,674,674
12,17,706,706
12,18,715,715
12,19,729,729
12,20,666,666
12,21,696,696
12,22,719,719
12,23,710,710
12,24,618,618
12,25,611,611
12,26,719,719
12,27,664,664
12,28,692,692
12,29,708,708
12,30,708,708
12,31,617,617
